id,subCategory,textToEmbed
14d31ee208e1823f48b9fefd9341bfa,FoodItem,giant glazed donut big doughnut enormous tall sinker fooditem
14df58bdedfbb41141edb96d309c9a23,Cap, new era white sox fifty cap hat red sticker york
14e3023f03787b204a736b2733b8d89e,PersonStanding,sculpture woman frau skulptur person personstanding
14e4cb9d8fd5c29f60467dddaf5cfe3f,_StanfordSceneDBModels, george w hart cagework version no shadows dodecahedron icosahedron pentagons polyhedra polyhedral polyhedron truncated plaything toy _stanfordscenedbmodels toyfigure
14e924565ea58a7645c6cb69e0968783,Chair,dania chair contemporary modern
14f4027490a165a6c017de3427505dac,Chair,sessel couch sofa divan barhocker hocker bed bett bureau cell cellphone phone chair fernseher furniture glas glass handy kommode mobel moebel stool stuhl tisch tish tv wohnzimmer _attributestrain
14fc5be1b05c2c0be85794c56c95b203,Computer, notebook laptop computer
14fd6547b099591c197217e886092ceb,Plant,bougainvillea high poly plant trellis bush flower landscape architecture materials shrub flora life
151916d8cacda1691c352d02061b3f7,Bookcase, iss designs modular shelving w semi wall mounted system with db shelves shelf modern issdesigns issdesign bookcase book bookcases display ikea workspaces workspace room divider desk file cabinets compression poles aluminum quad office george nelson omni comprehensive storage css apartment loft 5shelves
151b2df36e08a13fafeeb1a322c90696,Couch,sessel couch sofa divan barhocker hocker bed bett bureau cell cellphone phone chair fernseher furniture glas glass handy kitchen kommode mobel moebel schrank stool stuhl tisch tish tv wohnzimmer
151fccb37c2d51b0b82fa571a1cdbf24,Computer,toyota laptop netbook red unfinished computer
15290e3d21f429372af07afc7a68d50,Desk,desk bryce computer generic lol spongebob _stanfordscenedbmodels
152a850e5016fdd6e0771d4c079a0ec2,ChestOfDrawers,trunk chest of drawers bureau dresser chestofdrawers
152d5ec41fde7549e1caf415acc56c13,_StanfordSceneDBModels,florence flask boiling chemistry experiment free spirit liquids pyrex scientists test samples _stanfordscenedbmodels
152e101f3ab53701d810b14a81e12eca,Table, r round coffee f table by smart furniture shelf shelves cocktail endtable roundtable
15330d6a853a08b1ab0b172d4dea80cd,Computer,apple pcbook book air i airport extreme x base station ibook inc interactive television box ipad phone iphone mac touch blueberry clamshell bookair camera cellular chromatic classic computer computers concept cube design detailed gb gen generation ipod keyboard laptop macair macbook macbookair macintosh os mobile nano new notebook old open performance powemac quicktake safari steve jobs youtube _attributestrain
1539b4cfe837d3e0f50772e7faf419f8,Table,drawer furniture table accenttable
154d29c6a51fbdf870a43c2d978e502e,_StanfordSceneDBModels,cooking pot boil heat kitchen toilet can commode crapper potty stool throne _stanfordscenedbmodels
155a08c8e150e7008c4f202fffc87396,Table,stickley style coffee table bord mesa mission furniture sitting tisch cocktail coffeetable
155dfcdcc387b025492d9da2668ec34c,Chair, haworth w x task guest chair desk executive chiar office officechair
155e7a9e4a8a4407a5517442d05421cb,Sword, katana skulls away badmonton cheese cool cows eat energy go haha halo hilarious japan kevin lol ninja racket raiden reach samurai sham wow shiny slap chop slice sword your blade brand steel
15693e248e4950ba1271f7dd4fba29a,Refrigerator, refrigerator buzdolab freezer dolap kitchen mutfak paslanmaz stainless steel deep deep-freeze deepfreeze
15787789482f045d8add95bf56d3d2fa,Bottle,soda liquid pop random soft drink bottle
15847850d132460f1fb05d58f51ec4fa,Guitar,guitar 
1589ca6e3cdc1d4abd7834b955162bf5,Cabinet,sideboard cabinet fine furniture huntboard interior versatile woodworking buffet counter
158b64ae73f514045071967803b3d7cf,_StanfordSceneDBModels,d elf anatomy archer art body bow boy cartoon child children comic complex elven face fiction girl high human man iclone jai kid make medieval model night part structure texture person _stanfordscenedbmodels personstanding
158f4c9ed9e17d0e724d867867ccd9fb,MediaPlayer,sanyo vcr tv vhs video videocassette recorder mediaplayer
159050197b7058b936c8b9bf2576aca2,Desk,metal desk government old
15945d9f48aa097935836c728d324152,Lamp, kare table lamp cosmopolitan tischleuchte design lifestyle light living lounge trendy wohnen tablelamp
159ff1638d828ff26017ada71e028a7c,Mirror,sun mirror asia asian asie design hot miroir miroirs mirrors moboille modern moderne new nouveau ombre oriental round shadow soleil soleils suns
15a3ec0c0b49d38abac4a1f24472e41d,WallArt,demi moore portrait by francesca monti actor actors actress attori attrice design glam glamour italia italy light luce picture quadro stampa portrayal wallart
15a69a068a47e7ea2d7a27ffaafaaddb,Couch,couch chair furniture home furnishings love seat sofa lounge
15abbd934724fb0cdb1364f1359cc3fb,MousePad,ratpadz pad mouse mousepad mat _stanfordscenedbmodels _scenegallerymodels
15ada01cd6482fb1e80df3c23687288a,Cow,cow milk moo-cow
15b5c54a8ddc84353a5acb1c5cbd19ff,_StanfordSceneDBModels,cardboard box moving shipping _stanfordscenedbmodels paperbox
15bae7fe612add11bf899e941ea0fe55,GameTable,air hockey table gaming gametable
15bf6b28d7be7f1e788a73ba34bee167,Cabinet,storage bench chest architecture cabinet furniture
15c18839ed79548e6c0fdc1f13e8ba32,PaperBox,cardboard box brown paperbox
15c43d52c1c50d373321831d2245cf06,Bathtub, k corner bath kohler bathtub tub bathing
15c98bfa322106a0d291861d5bc3e7c8,Pillow,square pillow cushion throw
